"","features.fire_fly_id","FINALREF_FIT.cluster"
"1958",5577872,2
"1959",5579252,3
"1960",5579515,3
"1961",5581444,1
"1962",5583026,4
"1963",5585111,3
"1964",5585966,3
"1965",5600361,1
"1966",5604663,2
"1967",5605559,3
"1968",5605878,3
"1969",5606990,3
"1970",5613410,4
"1971",5615698,3
"1972",5616565,3
"1973",5619634,1
"1974",5623914,2
"1975",5628229,2
"1976",5628945,1
"1977",5630150,3
"1978",5630380,3
"1979",5635682,3
"1980",5635925,3
"1981",5638503,3
"1982",5640070,3
"1983",5643085,3
"1984",5643960,3
"1985",5651483,2
"1986",5654824,3
"1987",5655281,3
"1988",5658069,4
"1989",5659266,3
"1990",5668340,2
"1991",5668993,3
"1992",5672531,2
"1993",5672912,2
"1994",5672921,3
"1995",5674313,2
"1996",5679958,3
"1997",5681793,2
"1998",5686286,3
"1999",5687210,3
"2000",5688247,4
"2001",5693000,2
"2002",5693461,1
"2003",5693902,4
"2004",5694343,3
"2005",5697171,3
"2006",5697393,4
"2007",5706989,3
"2008",5708223,1
"2009",5710715,3
"2010",5716397,2
"2011",5716992,3
"2012",5727116,4
"2013",5740122,4
"2014",5740936,2
"2015",5744389,1
"2016",5745038,3
"2017",5747999,1
"2018",5753383,3
"2019",5755078,4
"2020",5757079,3
"2021",5757183,2
"2022",5759276,4
"2023",5760415,2
"2024",5761064,4
"2025",5764779,3
"2026",5766055,3
"2027",5766430,3
"2028",5766447,2
"2029",5766794,4
"2030",5773897,3
"2031",5775958,3
"2032",5778041,1
"2033",5780980,3
"2034",5781596,3
"2035",5783625,3
"2036",5784189,4
"2037",5784672,3
"2038",5785586,3
"2039",5786855,3
"2040",5787218,2
"2041",5788440,4
"2042",5788456,4
"2043",5789664,3
"2044",5790018,3
"2045",5791568,4
"2046",5791799,3
"2047",5801535,1
"2048",5801628,3
"2049",5803028,3
"2050",5803530,2
"2051",5804781,4
"2052",5806130,3
"2053",5806420,2
"2054",5808598,3
"2055",5809323,2
"2056",5810189,2
"2057",5814414,3
"2058",5822961,2
"2059",5827207,3
"2060",5827303,3
"2061",5833655,1
"2062",5837337,3
"2063",5844439,4
"2064",5845440,3
"2065",5845664,3
"2066",5845954,2
"2067",5847842,4
"2068",5848110,3
"2069",5848594,2
"2070",5849902,3
"2071",5854334,2
"2072",5855641,1
"2073",5857331,2
"2074",5858564,2
"2075",5858653,3
"2076",5862500,2
"2077",5862762,3
"2078",5862878,1
"2079",5866229,3
"2080",5866689,3
"2081",5866895,4
"2082",5871265,3
"2083",5871502,2
"2084",5874981,3
"2085",5876018,2
"2086",5876156,3
"2087",5877807,2
"2088",5879174,2
"2089",5885035,1
"2090",5887031,3
"2091",5887042,4
