fire_fly_id,referrer_type_value,percentbyref
3161707,Typed/Bookmarked,0.9318181818181818
3161713,Inside Your Site,0.308
3161713,Other Web Sites,0.076
3161713,Typed/Bookmarked,0.92
3161833,Inside Your Site,1
3161833,Typed/Bookmarked,1
3162002,Inside Your Site,0.5
3162002,Search Engines,0.4090909090909091
3162002,Typed/Bookmarked,0.6363636363636364
3162050,Inside Your Site,0.21212121212121213
3162050,Search Engines,0.21212121212121213
3162050,Typed/Bookmarked,0.7272727272727273
3162129,Inside Your Site,0.14751286449399656
3162129,Other Web Sites,0.0017152658662092624
3162129,Search Engines,0.1423670668953688
3162129,Social Networks,0.003430531732418525
3162129,Typed/Bookmarked,0.9897084048027445
3162203,Inside Your Site,1
3162203,Typed/Bookmarked,0.5
3162213,Inside Your Site,1
3162213,Other Web Sites,0.5
3162213,Typed/Bookmarked,0.5
3162244,Inside Your Site,0.3883495145631068
3162244,Other Web Sites,0.10679611650485436
3162244,Search Engines,0.02912621359223301
3162244,Social Networks,0.1553398058252427
3162244,Typed/Bookmarked,0.8349514563106796
3162261,Inside Your Site,0.4715909090909091
3162261,Search Engines,0.017045454545454544
3162261,Social Networks,0.3153409090909091
3162261,Typed/Bookmarked,0.9289772727272727
3162347,Inside Your Site,0.5
3162347,Typed/Bookmarked,1
3162357,Inside Your Site,1
3162357,Typed/Bookmarked,1
3162358,Inside Your Site,0.13513513513513514
3162358,Other Web Sites,0.17567567567567569
3162358,Search Engines,0.02702702702702703
3162358,Typed/Bookmarked,0.9054054054054054
3162376,Inside Your Site,0.4
3162376,Search Engines,0.05
3162376,Typed/Bookmarked,0.85
3162413,Inside Your Site,0.3333333333333333
3162413,Search Engines,0.3333333333333333
3162413,Typed/Bookmarked,0.6666666666666666
3162416,Inside Your Site,0.4
3162416,Search Engines,0.6
3162416,Typed/Bookmarked,0.2
3162432,Inside Your Site,0.4375
3162432,Search Engines,0.3125
3162432,Typed/Bookmarked,0.6875
3162486,Inside Your Site,1
3162486,Social Networks,0.3333333333333333
3162504,Inside Your Site,0.2727272727272727
3162504,Social Networks,0.1590909090909091
3162504,Typed/Bookmarked,0.875
3162551,Inside Your Site,0.64
3162551,Search Engines,0.44
3162551,Social Networks,0.08
3162551,Typed/Bookmarked,0.48
3162625,Inside Your Site,0.1683673469387755
3162625,Other Web Sites,0.025510204081632654
3162625,Search Engines,0.01020408163265306
3162625,Typed/Bookmarked,0.9642857142857143
3162686,Inside Your Site,0.4827586206896552
3162686,Search Engines,0.3275862068965517
3162686,Typed/Bookmarked,0.6206896551724138
3162706,Inside Your Site,0.5
3162706,Typed/Bookmarked,0.5
3162731,Inside Your Site,0.22641509433962265
3162731,Other Web Sites,0.0037735849056603774
3162731,Search Engines,0.04905660377358491
3162731,Social Networks,0.13584905660377358
3162731,Typed/Bookmarked,0.9207547169811321
3162773,Inside Your Site,0.1
3162773,Social Networks,0.21666666666666667
3162773,Typed/Bookmarked,0.7833333333333333
3162807,Inside Your Site,0.14285714285714285
